,Course Code,Average Grade
876,EE 736,8.962962962962964
877,EE 737,9.387096774193548
878,EE 739,8.152173913043478
879,EE 764,7.085106382978723
880,EE 769,7.444981862152358
881,EE 770,7.529661016949152
882,EE 790,7.7974683544303796
883,EE 791,7.742857142857143
884,EE 793,8.32420091324201
885,EE 800,8.602739726027398
886,EN 417,7.8533333333333335
887,EN 692,8.085106382978724
888,EN 204,6.952941176470588
889,EN 212,5.938053097345133
890,EN 214,6.96969696969697
891,EN 216,8.116279069767442
892,EN 218,7.584615384615384
893,EN 302,6.208333333333333
894,EN 304,4.593548387096774
895,EN 308,8.582089552238806
896,EN 310,8.525925925925925
897,EN 312,6.538461538461538
898,EN 314,7.490909090909091
899,EN 408,7.361538461538461
900,EN 410,7.155555555555556
901,EN 412,6.938461538461539
902,EN 414,8.333333333333334
903,EN 418,7.090909090909091
904,EN 422,8.173913043478262
905,EN 604,6.850574712643678
906,EN 607,7.379746835443038
907,EN 610,6.8700787401574805
908,EN 612,8.652173913043478
909,EN 640,7.383928571428571
910,EN 642,7.059259259259259
911,EN 657,8.33125
912,EN 661,7.290322580645161
913,ENT602,8.32934131736527
914,ENT608,8.961070559610706
915,ES 253,8.284552845528456
916,ES 351,9.140939597315436
917,ES 494,8.833333333333334
918,ES 651,8.298076923076923
919,ES 204,7.326923076923077
920,ES 206,7.867469879518072
921,ES 210,7.894117647058824
922,ES 212,8.238095238095237
923,ES 216,8.227272727272727
924,ES 252,8.85
925,ES 306,8.444444444444445
926,ES 308,8.39047619047619
927,ES 312,6.735849056603773
928,ES 600,8.110047846889952
929,ES 616,7.962406015037594
930,ES 624,7.224299065420561
931,ES 664,7.568807339449541
932,ES 666,6.793103448275862
933,ES 668,8.144329896907216
934,ES 672,8.367521367521368
935,ES 674,7.728
936,ES 680,8.807339449541285
937,ET 604,9.410714285714286
938,ET 605,9.125
939,ET 611,9.3
940,ET 614,9.204081632653061
941,ET 694,9.043478260869565
942,GNR615,9.101694915254237
943,GNR617,8.765217391304347
944,GNR631,7.728260869565218
945,GNR642,8.64
946,GNR646,9.181818181818182
947,GNR402,6.484276729559748
948,GNR408,9.666666666666666
949,GNR602,7.128272251308901
950,GNR618,7.458450046685341
